Code commune;Commune
31555;Toulouse
34172;Montpellier
42218;Saint-Étienne
49007;Angers
59183;Dunkerque
64445;Pau
75105;Paris 5e
75106;Paris 6e
75113;Paris 13e
78646;Versailles
83062;La Garde
93066;Saint-Denis
94028;Créteil
28096;Corte
97120;Pointe-à-Pitre
30189;Nîmes
37261;Tours
59032;Aulnoy-lez-Valenciennes
69387;Lyon 7e
80021;Amiens
91471;Orsay
95127;Cergy
17300;La Rochelle
21231;Dijon
33318;Pessac
35238;Rennes
56121;Lorient
59009;Villeneuve-d'Ascq
62041;Arras
67482;Strasbourg
73065;Chambéry
13207;Marseille 7e
14118;Caen
25056;Besançon
33063;Bordeaux
38421;Saint-Martin-d'Hères
45234;Orléans
51454;Reims
59350;Lille
63113;Clermont-Ferrand
66136;Perpignan
72181;Le Mans
76451;Mont-Saint-Aignan
76351;Le Havre
77083;Champs-sur-Marne
84007;Avignon
87085;Limoges
91228;Évry
92050;Nanterre
93079;Villetaneuse
98818;Nouméa
6088;Nice
29019;Brest
44109;Nantes
68224;Mulhouse
69266;Villeurbanne
86194;Poitiers
97302;Cayenne
98738;Punaauia
