Code département;Département
D031;Haute-Garonne
D034;Hérault
D042;Loire
D049;Maine-et-Loire
D059;Nord
D064;Pyrénées-Atlantiques
D075;Paris
D075;Paris
D075;Paris
D078;Yvelines
D083;Var
D093;Seine-Saint-Denis
D094;Val-de-Marne
D02B;Haute-Corse
D971;Guadeloupe
D030;Gard
D034;Hérault
D037;Indre-et-Loire
D059;Nord
D069;Rhône
D069;Rhône
D075;Paris
D075;Paris
D075;Paris
D080;Somme
D091;Essonne
D095;Val-d'Oise
D017;Charente-Maritime
D021;Côte-d'Or
D031;Haute-Garonne
D033;Gironde
D035;Ille-et-Vilaine
D056;Morbihan
D059;Nord
D059;Nord
D062;Pas-de-Calais
D067;Bas-Rhin
D073;Savoie
D013;Bouches-du-Rhône
D014;Calvados
D025;Doubs
D033;Gironde
D038;Isère
D045;Loiret
D051;Marne
D059;Nord
D063;Puy-de-Dôme
D066;Pyrénées-Orientales
D072;Sarthe
D076;Seine-Maritime
D076;Seine-Maritime
D077;Seine-et-Marne
D084;Vaucluse
D087;Haute-Vienne
D091;Essonne
D092;Hauts-de-Seine
D093;Seine-Saint-Denis
D988;Nouvelle-Calédonie
D006;Alpes-Maritimes
D029;Finistère
D031;Haute-Garonne
D035;Ille-et-Vilaine
D044;Loire-Atlantique
D068;Haut-Rhin
D069;Rhône
D075;Paris
D086;Vienne
D973;Guyane
D974;La Réunion
D987;Polynésie Française
