Code région;Code département
R76;D031
R76;D034
R84;D042
R52;D049
R32;D059
R75;D064
R11;D075
R11;D075
R11;D075
R11;D078
R93;D083
R11;D093
R11;D094
R94;D02B
R01;D971
R76;D030
R76;D034
R24;D037
R32;D059
R84;D069
R84;D069
R11;D075
R11;D075
R11;D075
R32;D080
R11;D091
R11;D095
R75;D017
R27;D021
R76;D031
R75;D033
R53;D035
R53;D056
R32;D059
R32;D059
R32;D062
R44;D067
R84;D073
R93;D013
R28;D014
R27;D025
R75;D033
R84;D038
R24;D045
R44;D051
R32;D059
R84;D063
R76;D066
R52;D072
R28;D076
R28;D076
R11;D077
R93;D084
R75;D087
R11;D091
R11;D092
R11;D093
R00;D988
R93;D006
R53;D029
R76;D031
R53;D035
R52;D044
R44;D068
R84;D069
R11;D075
R75;D086
R03;D973
R04;D974
R00;D987
